time,mono_ms,cat_name,state,lick,bout,water
2026-02-04 21:48:45.538,378366976,unknown,1,0,2,1.01688
2026-02-04 21:48:46.434,378367872,unknown,0,0,2,1.0135
2026-02-04 21:48:46.562,378368000,unknown,1,0,2,1.01713
2026-02-04 21:48:46.690,378368128,unknown,0,1,2,1.0206
2026-02-04 21:48:47.714,378369152,unknown,0,0,2,1.01334
2026-02-04 21:48:51.298,378372736,unknown,1,0,2,1.01052
2026-02-04 21:48:51.938,378373376,unknown,0,0,2,1.01253
2026-02-04 21:48:52.066,378373504,unknown,1,0,2,1.01681
2026-02-04 21:48:52.194,378373632,unknown,0,1,2,1.01197
2026-02-04 21:48:53.218,378374656,unknown,0,0,2,1.016
2026-02-04 21:48:55.138,378376576,unknown,1,0,2,1.0114
2026-02-04 21:48:55.266,378376704,unknown,0,1,2,1.01504
2026-02-04 21:48:55.394,378376832,unknown,1,1,2,1.01132
2026-02-04 21:48:56.162,378377600,unknown,0,1,2,1.01358
2026-02-04 21:48:57.186,378378624,unknown,0,0,2,1.01286
2026-02-04 21:49:00.386,378381824,unknown,1,0,2,1.02269
2026-02-04 21:49:01.154,378382592,unknown,0,0,2,1.00689
2026-02-04 21:49:04.994,378386432,unknown,1,0,2,1.01834
2026-02-04 21:49:05.122,378386560,unknown,0,1,2,1.0085
2026-02-04 21:49:05.250,378386688,unknown,1,1,2,1.01415
2026-02-04 21:49:06.530,378387968,unknown,0,1,2,1.01448
2026-02-04 21:49:07.554,378388992,unknown,0,0,2,1.00834
2026-02-04 21:49:11.266,378392704,unknown,1,0,2,1.01068
2026-02-04 21:49:12.418,378393856,unknown,0,0,2,1.01406
2026-02-04 21:49:16.130,378397568,unknown,1,0,2,1.01842
2026-02-04 21:49:17.026,378398464,unknown,0,0,2,1.00971
2026-02-04 21:49:17.154,378398592,unknown,1,0,2,1.01261
2026-02-04 21:49:17.282,378398720,unknown,0,1,2,1.02084
2026-02-04 21:49:18.306,378399744,unknown,0,0,2,1.00738
2026-02-04 21:49:20.866,378402304,unknown,1,0,2,1.0185
2026-02-04 21:49:21.890,378403328,unknown,0,0,2,1.01818
2026-02-04 21:49:25.730,378407168,unknown,1,0,2,1.0193
2026-02-04 21:49:26.754,378408192,unknown,0,0,2,0.998272
2026-02-04 21:49:26.882,378408320,unknown,1,0,2,1.01359
2026-02-04 21:49:27.010,378408448,unknown,0,1,2,1.01439
2026-02-04 21:49:28.034,378409472,unknown,0,0,2,0.992069
2026-02-04 21:49:30.210,378411648,unknown,1,0,2,1.0173
2026-02-04 21:49:30.978,378412416,unknown,0,0,2,0.993036
2026-02-04 21:49:31.106,378412544,unknown,1,0,2,1.01262
2026-02-04 21:49:31.234,378412672,unknown,0,1,2,1.01528
2026-02-04 21:49:32.258,378413696,unknown,0,0,2,1.01197
2026-02-04 21:49:35.074,378416512,unknown,1,0,2,1.01738
2026-02-04 21:49:35.202,378416640,unknown,0,1,2,1.01052
2026-02-04 21:49:35.330,378416768,unknown,1,1,2,1.01238
2026-02-04 21:49:36.098,378417536,unknown,0,1,2,1.00907
2026-02-04 21:49:37.122,378418560,unknown,0,0,2,1.01786
2026-02-04 21:49:40.962,378422400,unknown,1,0,2,1.01987
2026-02-04 21:49:41.730,378423168,unknown,0,0,2,1.00987
2026-02-04 21:49:45.698,378427136,unknown,1,0,2,1.0185
2026-02-04 21:49:46.466,378427904,unknown,0,0,2,1.01907
2026-02-04 21:49:46.594,378428032,unknown,1,0,2,1.01077
2026-02-04 21:49:46.722,378428160,unknown,0,1,2,1.00601
2026-02-04 21:49:47.746,378429184,unknown,0,0,2,1.01431
2026-02-04 21:49:50.306,378431744,unknown,1,0,2,1.0106
2026-02-04 21:49:51.074,378432512,unknown,0,0,2,1.02044
2026-02-04 21:49:51.202,378432640,unknown,1,0,2,1.00222
2026-02-04 21:49:51.330,378432768,unknown,0,1,2,1.01165
2026-02-04 21:49:52.354,378433792,unknown,0,0,2,1.01794
2026-02-04 21:49:54.402,378435840,unknown,1,0,2,1.01125
2026-02-04 21:49:55.298,378436736,unknown,0,0,2,1.01165
2026-02-04 21:49:55.426,378436864,unknown,1,0,2,1.01786
2026-02-04 21:49:55.554,378436992,unknown,0,1,2,1.0131
2026-02-04 21:49:56.578,378438016,unknown,0,0,2,1.0106
2026-02-04 21:49:58.114,378439552,unknown,1,0,2,1.02705
2026-02-04 21:49:58.242,378439680,unknown,0,1,2,1.01077
2026-02-04 21:49:58.370,378439808,unknown,1,1,2,1.02181
2026-02-04 21:49:58.498,378439936,unknown,0,2,2,1.01641
2026-02-04 21:49:58.754,378440192,unknown,1,2,2,1.01697
2026-02-04 21:49:58.882,378440320,unknown,0,3,2,1.01632
2026-02-04 21:49:59.010,378440448,unknown,1,3,2,1.01608
2026-02-04 21:49:59.138,378440576,unknown,0,4,2,1.01786
2026-02-04 21:50:00.162,378441600,unknown,0,0,3,1.02132
2026-02-04 21:50:03.106,378444544,unknown,1,0,3,1.01165
2026-02-04 21:50:03.362,378444800,unknown,0,0,3,1.01762
2026-02-04 21:50:03.490,378444928,unknown,1,0,3,1.01738
2026-02-04 21:50:03.618,378445056,unknown,0,1,3,1.0185
2026-02-04 21:50:03.746,378445184,unknown,1,1,3,1.01907
2026-02-04 21:50:03.874,378445312,unknown,0,2,3,1.01125
2026-02-04 21:50:04.898,378446336,unknown,0,0,3,1.00834
2026-02-04 21:50:08.098,378449536,unknown,1,0,3,1.01495
2026-02-04 21:50:08.738,378450176,unknown,0,0,3,0.995774
2026-02-04 21:50:08.866,378450304,unknown,1,0,3,1.01383
